Rk,Ht,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
898,6-3,2012,2018,TOT,NBA,Cory Joseph\josepco01,446,86,9293,1218,2706,1036,2153,182,553,510,667,222,862,1084,1164,312,89,440,642,3128,0.45,0.481,0.329,0.484,0.765,0.521
899,7-2,2001,2001,TOT,NBA,Garth Joseph\josepga01,4,0,16,1,5,1,5,0,0,0,2,2,0,2,1,0,1,2,1,2,0.2,0.2,,0.2,0,0.17
900,6-7,2013,2013,TOT,NBA,Kris Joseph\josepkr01,10,0,54,2,14,2,11,0,3,5,8,1,6,7,1,3,0,2,3,9,0.143,0.182,0,0.143,0.625,0.257
901,7-0,2004,2016,TOT,NBA,Chris Kaman\kamanch01,735,538,19642,3432,7023,3431,6999,1,24,1343,1808,1487,4095,5582,921,322,931,1544,1968,8208,0.489,0.49,0.042,0.489,0.743,0.525
902,7-0,2016,2018,CHO,NBA,Frank Kaminsky\kaminfr01,235,23,5497,842,2043,554,1213,288,830,381,498,172,787,959,389,120,96,200,360,2353,0.412,0.457,0.347,0.483,0.765,0.52
903,6-11,2012,2018,TOT,NBA,Enes Kanter\kanteen01,516,185,11309,2462,4565,2430,4456,32,109,1075,1380,1458,2319,3777,374,204,234,804,1129,6031,0.539,0.545,0.294,0.543,0.779,0.583
904,6-8,2004,2012,TOT,NBA,Jason Kapono\kaponja01,509,87,9068,1336,3026,879,1972,457,1054,269,322,165,679,844,417,180,25,327,777,3398,0.442,0.446,0.434,0.517,0.835,0.536
905,6-7,2014,2016,TOT,NBA,Sergey Karasev\karasse01,95,22,1110,96,243,65,133,31,110,64,76,30,110,140,87,32,4,57,94,287,0.395,0.489,0.282,0.459,0.842,0.519
906,6-5,2008,2010,TOT,NBA,Coby Karl\karlco01,24,1,184,20,58,14,34,6,24,12,16,7,25,32,24,7,3,15,18,58,0.345,0.412,0.25,0.397,0.75,0.446
907,7-1,2005,2006,ORL,NBA,Mario Kasun\kasunma01,73,0,569,78,167,78,166,0,1,42,66,76,112,188,11,10,16,41,155,198,0.467,0.47,0,0.467,0.636,0.505
908,6-11,2016,2016,CLE,NBA,Sasha Kaun\kaunsa01,25,0,95,9,17,9,17,0,0,5,11,12,14,26,3,4,5,7,11,23,0.529,0.529,,0.529,0.455,0.527
909,6-9,2000,2001,TOT,NBA,Adam Keefe\keefead01,129,16,1440,117,289,116,285,1,4,68,99,135,210,345,70,45,33,86,192,303,0.405,0.407,0.25,0.407,0.687,0.456
910,6-11,2014,2017,TOT,NBA,Ryan Kelly\kellyry01,163,59,3125,324,857,222,534,102,323,231,290,77,427,504,215,79,84,106,309,981,0.378,0.416,0.316,0.438,0.797,0.498
911,6-10,2000,2003,TOT,NBA,Shawn Kemp\kempsh01,304,145,6440,1038,2485,1032,2463,6,22,813,1052,531,1192,1723,310,254,185,573,978,2895,0.418,0.419,0.273,0.419,0.773,0.491
912,6-6,2018,2018,DET,NBA,Luke Kennard\kennalu01,73,9,1463,206,465,125,270,81,195,65,76,21,155,176,124,44,13,69,86,558,0.443,0.463,0.415,0.53,0.855,0.56
913,6-6,2012,2012,CLE,NBA,D.J. Kennedy\kennedj01,2,0,59,5,12,3,8,2,4,0,2,1,6,7,3,2,0,3,7,12,0.417,0.375,0.5,0.5,0,0.466
914,6-3,2000,2003,TOT,NBA,Steve Kerr\kerrst01,227,1,2645,311,706,187,408,124,298,92,100,27,147,174,202,60,5,87,142,838,0.441,0.458,0.416,0.528,0.92,0.559
915,6-7,2000,2001,TOT,NBA,Jerome Kersey\kerseje01,94,20,1553,178,423,178,413,0,10,37,57,66,204,270,84,81,55,57,197,393,0.421,0.431,0,0.421,0.649,0.439
916,6-9,2000,2001,TOT,NBA,Lari Ketner\ketnela01,25,0,139,13,32,13,32,0,0,8,12,12,22,34,2,4,3,12,20,34,0.406,0.406,,0.406,0.667,0.456
917,6-9,2005,2008,TOT,NBA,Viktor Khryapa\khryavi01,143,58,2351,251,567,237,519,14,48,127,193,168,324,492,142,86,48,139,353,643,0.443,0.457,0.292,0.455,0.658,0.493
918,6-4,2000,2013,TOT,NBA,Jason Kidd\kiddja01,1044,1013,37267,4516,11321,2910,6794,1606,4527,2222,2735,1154,5490,6644,8921,1958,335,2872,1907,12860,0.399,0.428,0.355,0.47,0.812,0.513
919,6-7,2013,2018,TOT,NBA,Michael Kidd-Gilchrist\kiddgmi01,357,353,9518,1282,2687,1275,2651,7,36,692,979,601,1506,2107,440,262,259,342,763,3263,0.477,0.481,0.194,0.478,0.707,0.523
920,6-4,2015,2018,TOT,NBA,Sean Kilpatrick\kilpase01,157,25,3082,545,1319,351,740,194,579,332,385,40,389,429,236,73,13,206,191,1616,0.413,0.474,0.335,0.487,0.862,0.543
921,6-9,2000,2001,WAS,NBA,Gerard King\kingge02,107,31,1766,229,453,229,453,0,0,85,111,123,256,379,80,48,26,88,226,543,0.506,0.506,,0.506,0.766,0.541
922,6-6,2007,2009,TOT,NBA,Tarence Kinsey\kinseta01,109,15,1340,186,411,163,340,23,71,116,142,42,105,147,53,68,1,71,102,511,0.453,0.479,0.324,0.481,0.817,0.54
923,6-9,2002,2015,TOT,NBA,Andrei Kirilenko\kirilan01,797,546,23916,3146,6637,2779,5452,367,1185,2772,3675,1400,2952,4352,2169,1097,1461,1518,1605,9431,0.474,0.51,0.31,0.502,0.754,0.571
924,7-0,2015,2015,CLE,NBA,Alex Kirk\kirkal01,5,0,14,1,4,1,4,0,0,2,2,1,0,1,1,0,0,0,1,4,0.25,0.25,,0.25,1,0.41
925,6-5,2000,2005,TOT,NBA,Kerry Kittles\kittlke01,302,282,9533,1537,3381,1161,2383,376,998,448,580,223,888,1111,754,443,123,322,494,3898,0.455,0.487,0.377,0.51,0.772,0.536
926,6-10,2018,2018,DAL,NBA,Maxi Kleber\klebima01,72,36,1206,151,309,111,181,40,128,44,59,71,163,234,51,26,47,30,114,386,0.489,0.613,0.313,0.553,0.746,0.576
927,6-11,2000,2000,POR,NBA,Joe Kleine\kleinjo01,7,0,31,4,11,4,11,0,0,3,3,0,6,6,2,1,0,2,7,11,0.364,0.364,,0.364,1,0.446
928,6-8,2006,2013,TOT,NBA,Linas Kleiza\kleizli01,409,65,8185,1268,2912,881,1758,387,1154,638,836,388,1082,1470,321,159,73,409,886,3561,0.435,0.501,0.335,0.502,0.763,0.543
929,6-0,2005,2005,HOU,NBA,Brandin Knight\knighbr02,1,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,0
930,6-3,2012,2017,TOT,NBA,Brandon Knight\knighbr03,382,320,11939,2092,5047,1467,3295,625,1752,1011,1245,222,1055,1277,1629,354,70,1018,782,5820,0.415,0.445,0.357,0.476,0.812,0.52
931,5-10,2000,2009,TOT,NBA,Brevin Knight\knighbr01,610,309,14507,1624,3990,1608,3883,16,107,982,1240,199,1202,1401,3523,963,62,1068,1470,4246,0.407,0.414,0.15,0.409,0.792,0.468
932,7-0,2000,2003,TOT,NBA,Travis Knight\knightr01,189,0,1382,122,349,122,347,0,2,52,80,131,217,348,50,30,53,73,274,296,0.35,0.352,0,0.35,0.65,0.385
933,6-7,2018,2018,PHI,NBA,Furkan Korkmaz\korkmfu01,14,0,80,8,28,3,11,5,17,2,4,2,9,11,4,2,1,2,12,23,0.286,0.273,0.294,0.375,0.5,0.386
934,7-1,2018,2018,NYK,NBA,Luke Kornet\kornelu01,20,1,326,49,125,21,46,28,79,8,11,11,53,64,26,6,16,12,28,134,0.392,0.457,0.354,0.504,0.727,0.516
935,6-9,2006,2007,LAC,NBA,Yaroslav Korolev\korolya01,34,0,168,13,46,10,34,3,12,10,16,6,10,16,13,6,0,7,11,39,0.283,0.294,0.25,0.315,0.625,0.368
936,6-7,2004,2018,TOT,NBA,Kyle Korver\korveky01,1104,422,28889,3776,8501,1563,3371,2213,5130,1202,1365,321,3038,3359,1965,753,379,1183,2338,10967,0.444,0.464,0.431,0.574,0.881,0.602
937,7-0,2009,2018,TOT,NBA,Kosta Koufos\koufoko01,644,228,10769,1677,3124,1677,3120,0,4,403,686,1146,2129,3275,323,276,488,452,1330,3757,0.537,0.538,0,0.537,0.587,0.548
938,7-0,2013,2014,TOT,NBA,Viacheslav Kravtsov\kravtvi01,45,0,283,41,61,41,61,0,0,15,45,33,29,62,10,5,10,20,39,97,0.672,0.672,,0.672,0.333,0.6
939,7-0,2005,2011,TOT,NBA,Nenad Krstic\krstine01,419,373,10547,1724,3493,1722,3479,2,14,760,1041,772,1489,2261,346,162,286,497,1251,4210,0.494,0.495,0.143,0.494,0.73,0.533
940,6-10,2000,2006,TOT,NBA,Toni Kukoc\kukocto01,434,65,10218,1464,3451,1066,2261,398,1190,768,1088,368,1229,1597,1403,385,136,732,702,4094,0.424,0.471,0.334,0.482,0.706,0.521
941,6-9,2009,2009,GSW,NBA,Rob Kurz\kurzro01,40,5,442,51,131,36,93,15,38,40,50,33,48,81,20,14,19,16,78,157,0.389,0.387,0.395,0.447,0.8,0.513
942,6-6,2005,2005,SEA,NBA,Ibo Kutluay\kutluib01,5,0,12,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,,0,,0
943,6-9,2018,2018,LAL,NBA,Kyle Kuzma\kuzmaky01,77,37,2401,468,1039,309,605,159,434,147,208,88,395,483,141,49,34,140,160,1242,0.45,0.511,0.366,0.527,0.707,0.549
944,7-1,2014,2015,GSW,NBA,Ognjen Kuzmic\kuzmiog01,37,0,164,13,25,13,25,0,0,9,15,17,21,38,8,5,5,15,30,35,0.52,0.52,,0.52,0.6,0.554
945,6-9,2017,2018,NYK,NBA,Mindaugas Kuzminskas\kuzmimi01,69,5,1018,158,371,104,203,54,168,55,68,47,79,126,69,29,11,51,79,425,0.426,0.512,0.321,0.499,0.809,0.53
946,6-11,2017,2018,SAC,NBA,Skal Labissiere\labissk01,93,40,1852,322,676,301,617,21,59,147,192,150,300,450,99,41,62,110,196,812,0.476,0.488,0.356,0.492,0.766,0.534
947,6-11,2000,2005,TOT,NBA,Christian Laettner\laettch01,390,262,9485,1305,2670,1283,2579,22,91,678,825,567,1517,2084,826,365,199,566,1083,3310,0.489,0.497,0.242,0.493,0.822,0.546
948,6-2,2010,2010,BOS,NBA,Oliver Lafayette\lafayol01,1,0,22,3,6,2,4,1,2,0,0,1,3,4,2,0,0,1,0,7,0.5,0.5,0.5,0.583,,0.583
949,6-11,2000,2008,TOT,NBA,Raef LaFrentz\lafrera01,551,426,14158,2168,4652,1702,3368,466,1284,722,1018,961,2371,3332,598,267,902,502,1825,5524,0.466,0.505,0.363,0.516,0.709,0.542
950,6-4,2013,2014,TOT,NBA,Doron Lamb\lambdo01,100,0,1272,123,323,73,196,50,127,49,70,16,79,95,75,24,1,53,106,345,0.381,0.372,0.394,0.458,0.7,0.488
951,6-5,2013,2018,TOT,NBA,Jeremy Lamb\lambje01,356,31,6655,1227,2760,901,1791,326,969,467,558,163,991,1154,502,209,119,277,549,3247,0.445,0.503,0.336,0.504,0.837,0.54
952,6-11,2004,2006,TOT,NBA,Maciej Lampe\lampema01,64,0,632,94,231,92,223,2,8,25,37,37,105,142,22,8,10,35,81,215,0.407,0.413,0.25,0.411,0.676,0.435
953,6-7,2003,2004,TOT,NBA,Sean Lampley\lamplse01,45,0,550,69,149,69,145,0,4,65,94,28,66,94,33,7,4,28,45,203,0.463,0.476,0,0.463,0.691,0.533
954,6-9,2008,2016,TOT,NBA,Carl Landry\landrca01,513,93,11524,2086,3898,2077,3868,9,30,1360,1732,994,1539,2533,355,216,203,603,1208,5541,0.535,0.537,0.3,0.536,0.785,0.595
955,6-7,2010,2010,TOT,NBA,Marcus Landry\landrma01,18,0,111,16,43,7,15,9,28,3,5,5,14,19,0,1,2,6,14,44,0.372,0.467,0.321,0.477,0.6,0.487
956,6-11,2000,2000,NYK,NBA,Andrew Lang\langan01,19,10,244,28,64,28,64,0,0,3,7,16,44,60,3,8,6,5,31,59,0.438,0.438,,0.438,0.429,0.44
957,6-8,2000,2000,TOT,NBA,Antonio Lang\langan02,10,0,38,1,6,1,6,0,0,4,5,0,5,5,2,4,1,2,8,6,0.167,0.167,,0.167,0.8,0.366
958,6-10,2007,2007,WAS,NBA,James Lang\langja01,11,0,55,4,9,4,9,0,0,3,5,5,6,11,2,0,3,2,14,11,0.444,0.444,,0.444,0.6,0.491
959,6-3,2000,2002,CLE,NBA,Trajan Langdon\langdtr01,119,5,1738,220,529,134,312,86,217,121,133,29,130,159,152,56,14,98,179,647,0.416,0.429,0.396,0.497,0.91,0.551
960,6-4,2008,2008,SAS,NBA,Keith Langford\langfke01,2,0,10,1,4,1,4,0,0,0,0,0,2,2,0,0,0,0,1,2,0.25,0.25,,0.25,,0.25
961,6-11,2001,2004,TOT,NBA,Dan Langhi\langhda01,133,8,1253,172,440,161,402,11,38,38,62,54,145,199,39,30,12,35,106,393,0.391,0.4,0.289,0.403,0.613,0.421
962,6-4,2017,2017,SAS,NBA,Nicolas Laprovittola\laproni01,18,3,174,20,47,10,20,10,27,9,9,1,9,10,28,4,1,19,19,59,0.426,0.5,0.37,0.532,1,0.579
963,5-11,2014,2018,TOT,NBA,Shane Larkin\larkish01,256,41,4880,545,1290,428,942,117,348,192,247,83,407,490,737,243,25,301,375,1399,0.422,0.454,0.336,0.468,0.777,0.5
964,6-2,2000,2004,TOT,NBA,Rusty LaRue\larueru01,41,1,693,89,231,69,166,20,65,36,44,12,50,62,84,26,7,54,69,234,0.385,0.416,0.308,0.429,0.818,0.467
965,6-8,2008,2008,TOT,NBA,Stephane Lasme\lasmest01,16,4,303,32,71,32,71,0,0,19,32,26,27,53,3,13,22,15,35,83,0.451,0.451,,0.451,0.594,0.488
966,6-11,2015,2018,TOT,NBA,Joffrey Lauvergne\lauvejo01,208,18,2823,477,995,428,823,49,172,156,217,239,550,789,180,55,34,165,286,1159,0.479,0.52,0.285,0.504,0.719,0.531
967,6-5,2015,2018,TOT,NBA,Zach LaVine\lavinza01,230,144,6601,1181,2701,839,1785,342,916,514,627,82,614,696,738,188,41,476,510,3218,0.437,0.47,0.373,0.501,0.82,0.54
968,6-3,2008,2011,TOT,NBA,Acie Law\lawac01,188,8,2385,263,637,236,522,27,115,172,221,33,162,195,309,83,4,145,193,725,0.413,0.452,0.235,0.434,0.778,0.494
969,6-9,2011,2011,PHO,NBA,Gani Lawal\lawalga01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
970,5-11,2010,2017,TOT,NBA,Ty Lawson\lawsoty01,551,344,16088,2496,5424,2023,4105,473,1319,1512,1964,351,1155,1506,3316,636,52,1159,898,6977,0.46,0.493,0.359,0.504,0.77,0.555
971,6-9,2017,2018,POR,NBA,Jake Layman\laymaja01,70,2,409,40,136,23,65,17,71,15,20,10,30,40,22,15,7,16,35,112,0.294,0.354,0.239,0.357,0.75,0.387
972,6-10,2018,2018,IND,NBA,T.J. Leaf\leaftj01,53,0,459,64,136,46,94,18,42,10,16,29,53,82,9,5,4,10,45,156,0.471,0.489,0.429,0.537,0.625,0.545
973,6-7,2014,2015,TOT,NBA,Ricky Ledo\ledori01,28,0,277,38,113,25,78,13,35,20,26,16,22,38,21,7,1,28,23,109,0.336,0.321,0.371,0.394,0.769,0.438
974,6-5,2009,2018,TOT,NBA,Courtney Lee\leeco01,753,503,21165,2868,6356,2029,4199,839,2157,947,1106,348,1693,2041,1304,770,204,737,1274,7522,0.451,0.483,0.389,0.517,0.856,0.55
975,6-6,2018,2018,ATL,NBA,Damion Lee\leeda03,15,11,404,62,152,47,92,15,60,22,29,11,60,71,29,19,1,14,25,161,0.408,0.511,0.25,0.457,0.759,0.489
976,6-9,2006,2017,TOT,NBA,David Lee\leeda02,829,505,24293,4587,8566,4586,8537,1,29,2057,2666,2150,5170,7320,1825,625,329,1454,2170,11232,0.535,0.537,0.034,0.536,0.772,0.577
977,6-5,2012,2015,TOT,NBA,Malcolm Lee\leema01,36,12,534,52,136,42,102,10,34,26,37,24,41,65,51,20,10,27,52,140,0.382,0.412,0.294,0.419,0.703,0.46
978,6-4,2000,2000,GSW,NBA,Tim Legler\legleti01,23,4,284,28,78,21,57,7,21,14,18,4,19,23,24,4,1,6,33,77,0.359,0.368,0.333,0.404,0.778,0.448
979,6-3,2018,2018,NOP,NBA,Walt Lemon Jr.\lemonwa01,5,0,35,7,16,6,15,1,1,2,3,0,2,2,5,0,1,4,5,17,0.438,0.4,1,0.469,0.667,0.491
980,7-1,2014,2018,PHO,NBA,Alex Len\lenal01,335,140,6656,920,1896,914,1871,6,25,575,813,690,1485,2175,259,141,344,425,911,2421,0.485,0.489,0.24,0.487,0.707,0.537
981,6-4,2000,2006,TOT,NBA,Voshon Lenard\lenarvo01,369,191,10104,1683,4134,1131,2653,552,1481,652,833,221,811,1032,798,307,95,510,776,4570,0.407,0.426,0.373,0.474,0.783,0.508
982,6-7,2012,2018,SAS,NBA,Kawhi Leonard\leonaka01,407,380,12364,2429,4910,1900,3540,529,1370,1267,1497,509,2002,2511,924,723,289,558,706,6654,0.495,0.537,0.386,0.549,0.846,0.597
983,7-1,2013,2018,POR,NBA,Meyers Leonard\leoname01,332,40,5217,704,1504,483,912,221,592,197,239,242,995,1237,263,56,103,225,748,1826,0.468,0.53,0.373,0.542,0.824,0.567
984,6-4,2012,2012,LAC,NBA,Travis Leslie\leslitr01,10,0,45,5,14,5,14,0,0,4,9,6,3,9,5,2,2,2,4,14,0.357,0.357,,0.357,0.444,0.39
985,6-10,2012,2018,TOT,NBA,Jon Leuer\leuerjo01,336,79,5543,913,1910,789,1540,124,370,289,376,330,999,1329,287,125,98,236,523,2239,0.478,0.512,0.335,0.51,0.769,0.539
986,6-7,2017,2018,BRK,NBA,Caris LeVert\leverca01,128,36,3101,491,1115,347,686,144,429,200,280,76,372,448,410,131,30,212,250,1326,0.44,0.506,0.336,0.505,0.714,0.535
987,6-7,2000,2004,TOT,NBA,Quincy Lewis\lewisqu01,159,21,1853,232,584,195,473,37,111,66,93,71,139,210,96,59,36,98,335,567,0.397,0.412,0.333,0.429,0.71,0.454
988,6-10,2000,2014,TOT,NBA,Rashard Lewis\lewisra02,1029,835,33396,5625,12427,3839,7808,1786,4619,2496,3097,1405,4003,5408,1761,1107,540,1557,2411,15532,0.453,0.492,0.387,0.525,0.806,0.563
989,6-6,2012,2018,TOT,NBA,DeAndre Liggins\liggide01,177,24,1907,129,321,86,199,43,122,45,82,47,205,252,122,108,31,86,201,346,0.402,0.432,0.352,0.469,0.549,0.484
990,6-3,2013,2018,POR,NBA,Damian Lillard\lillada01,469,469,17069,3596,8329,2327,4882,1269,3447,2381,2692,279,1639,1918,2928,445,137,1303,967,10842,0.432,0.477,0.368,0.508,0.884,0.57
991,6-3,2011,2018,TOT,NBA,Jeremy Lin\linje01,406,217,10782,1647,3808,1253,2682,394,1126,1172,1456,175,984,1159,1811,472,162,961,916,4860,0.433,0.467,0.35,0.484,0.805,0.546
992,6-4,2000,2007,TOT,NBA,Randy Livingston\livinra01,126,19,1599,196,500,171,425,25,75,83,98,41,139,180,252,73,17,114,183,500,0.392,0.402,0.333,0.417,0.847,0.46
993,6-7,2005,2018,TOT,NBA,Shaun Livingston\livinsh01,769,191,16221,2040,4209,2027,4138,13,71,880,1108,449,1423,1872,2369,555,284,996,1424,4973,0.485,0.49,0.183,0.486,0.794,0.529
994,6-9,2001,2003,TOT,NBA,Art Long\longar01,98,27,1220,148,323,146,320,2,3,47,97,130,189,319,48,27,42,85,220,345,0.458,0.456,0.667,0.461,0.485,0.472
995,6-8,2000,2003,TOT,NBA,Grant Long\longgr01,215,85,4783,405,941,398,902,7,39,271,374,217,605,822,287,189,38,233,453,1088,0.43,0.441,0.179,0.434,0.725,0.492
996,6-9,2017,2017,PHI,NBA,Shawn Long\longsh01,18,0,234,61,109,54,90,7,19,19,35,41,44,85,13,9,9,13,49,148,0.56,0.6,0.368,0.592,0.543,0.595
997,7-2,2000,2001,TOT,NBA,Luc Longley\longllu01,97,70,1718,204,453,204,453,0,0,93,114,126,263,389,84,25,51,158,272,501,0.45,0.45,,0.45,0.816,0.498
998,6-9,2016,2018,GSW,NBA,Kevon Looney\looneke01,124,8,1378,172,307,168,291,4,16,63,111,131,218,349,71,49,73,49,172,411,0.56,0.577,0.25,0.567,0.568,0.578
999,7-0,2009,2018,TOT,NBA,Brook Lopez\lopezbr01,636,599,19853,4413,8791,4164,8048,249,743,2330,2953,1560,2739,4299,993,358,1070,1253,1770,11405,0.502,0.517,0.335,0.516,0.789,0.565
1000,6-5,2000,2002,TOT,NBA,Felipe Lopez\lopezfe01,202,48,2927,381,895,345,792,36,103,213,320,143,295,438,190,112,48,172,323,1011,0.426,0.436,0.35,0.446,0.666,0.488
1001,6-1,2004,2005,UTA,NBA,Raul Lopez\lopezra01,113,26,2135,280,652,235,522,45,130,128,150,31,163,194,428,84,5,221,278,733,0.429,0.45,0.346,0.464,0.853,0.51
1002,7-0,2009,2018,TOT,NBA,Robin Lopez\lopezro01,692,544,16043,2599,4936,2595,4916,4,20,1037,1364,1716,2043,3759,553,178,849,758,1412,6239,0.527,0.528,0.2,0.527,0.76,0.563
1003,6-10,2009,2018,TOT,NBA,Kevin Love\loveke01,635,553,20425,3844,8663,2820,5898,1024,2765,2920,3542,1885,5273,7158,1471,447,298,1229,1355,11632,0.444,0.478,0.37,0.503,0.824,0.569
1004,6-0,2007,2018,TOT,NBA,Kyle Lowry\lowryky01,791,555,24568,3676,8656,2301,4939,1375,3717,2702,3364,663,2679,3342,4660,1065,210,1765,2134,11429,0.425,0.466,0.37,0.504,0.803,0.564
1005,5-11,2006,2017,TOT,NBA,John Lucas III\lucasjo02,242,8,2927,454,1185,291,711,163,474,76,99,57,180,237,362,88,2,128,195,1147,0.383,0.409,0.344,0.452,0.768,0.467
1006,6-1,2015,2015,MEM,NBA,Kalin Lucas\lucaska01,1,0,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,,0
1007,6-0,2000,2009,TOT,NBA,Tyronn Lue\luety01,539,173,12376,1737,3974,1284,2815,453,1159,708,847,130,807,937,1702,281,10,648,1029,4635,0.437,0.456,0.391,0.494,0.836,0.533
1008,6-6,2017,2018,PHI,NBA,Timothe Luwawu-Cabarrot\luwawti01,121,26,1997,245,628,142,309,103,319,151,181,39,182,221,129,44,15,111,251,744,0.39,0.46,0.323,0.472,0.834,0.526
1009,6-10,2018,2018,DEN,NBA,Tyler Lydon\lydonty01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1010,6-10,2016,2018,TOT,NBA,Trey Lyles\lylestr01,224,39,3931,620,1425,423,875,197,550,215,306,162,719,881,219,82,72,190,322,1652,0.435,0.483,0.358,0.504,0.703,0.53
1011,6-8,2000,2005,TOT,NBA,George Lynch\lynchge01,405,283,10089,1008,2381,895,2027,113,354,353,542,776,1421,2197,638,404,131,443,906,2482,0.423,0.442,0.319,0.447,0.651,0.474
1012,6-5,2017,2017,WAS,NBA,Sheldon Mac\mcclesh01,30,3,287,30,75,23,45,7,30,23,27,4,30,34,15,8,2,5,17,90,0.4,0.511,0.233,0.447,0.852,0.518
1013,7-0,2000,2003,TOT,NBA,Todd MacCulloch\maccuto01,223,105,3439,568,1049,568,1049,0,0,233,363,340,548,888,121,61,177,154,478,1369,0.541,0.541,,0.541,0.642,0.566
1014,6-1,2013,2013,HOU,NBA,Scott Machado\machasc01,6,0,21,3,6,3,5,0,1,2,2,0,1,1,6,2,0,8,0,8,0.5,0.6,0,0.5,1,0.581
1015,6-4,2006,2006,NOK,NBA,Arvydas Macijauskas\macijar01,19,0,135,14,41,11,29,3,12,13,15,3,7,10,5,7,0,8,10,44,0.341,0.379,0.25,0.378,0.867,0.462
1016,6-7,2000,2002,TOT,NBA,Sam Mack\macksa01,35,6,492,51,171,23,79,28,92,24,27,9,44,53,28,23,2,26,62,154,0.298,0.291,0.304,0.38,0.889,0.421
1017,6-3,2012,2018,TOT,NBA,Shelvin Mack\macksh01,399,53,7146,1002,2349,746,1563,256,786,307,415,100,690,790,1238,253,20,494,484,2567,0.427,0.477,0.326,0.481,0.74,0.507
1018,6-10,2012,2012,DET,NBA,Vernon Macklin\macklve01,23,0,135,19,35,19,35,0,0,8,14,14,20,34,5,4,4,3,9,46,0.543,0.543,,0.543,0.571,0.559
1019,6-10,2000,2001,TOT,NBA,Don MacLean\macledo01,24,1,219,28,69,24,61,4,8,13,18,13,28,41,12,7,2,18,33,73,0.406,0.393,0.5,0.435,0.722,0.475
1020,6-4,2003,2003,HOU,NBA,Tito Maddox\maddoti01,9,0,35,3,12,3,9,0,3,5,8,1,6,7,5,3,1,3,4,11,0.25,0.333,0,0.25,0.625,0.354
1021,6-9,2001,2009,TOT,NBA,Mark Madsen\madsema01,453,70,5335,381,834,380,818,1,16,212,402,559,598,1157,181,116,102,206,866,975,0.457,0.465,0.063,0.457,0.527,0.482
1022,6-1,2018,2018,ATL,NBA,Josh Magette\magetjo01,18,0,216,15,46,7,24,8,22,8,8,2,17,19,57,8,1,9,16,46,0.326,0.292,0.364,0.413,1,0.464
1023,6-6,2000,2013,TOT,NBA,Corey Maggette\maggeco01,827,478,23358,4065,8969,3602,7538,463,1431,4605,5599,915,3107,4022,1696,590,139,1874,2338,13198,0.453,0.478,0.324,0.479,0.822,0.577
1024,6-11,2001,2012,TOT,NBA,Jamaal Magloire\magloja01,680,314,14621,1763,3675,1763,3668,0,7,1391,2176,1418,2990,4408,386,224,603,998,1792,4917,0.48,0.481,0,0.48,0.639,0.531
1025,6-11,2008,2018,TOT,NBA,Ian Mahinmi\mahinia01,546,92,9047,1050,1940,1050,1932,0,8,687,1131,811,1548,2359,283,301,383,535,1437,2787,0.541,0.543,0,0.541,0.607,0.572
1026,6-6,2000,2002,TOT,NBA,Dan Majerle\majerda01,187,89,4794,356,970,110,250,246,720,115,152,75,600,675,384,190,47,132,358,1073,0.367,0.44,0.342,0.494,0.757,0.517
1027,6-7,2007,2007,GSW,NBA,Renaldo Major\majorre01,1,0,27,2,10,2,10,0,0,1,2,0,2,2,0,2,0,1,4,5,0.2,0.2,,0.2,0.5,0.23
1028,7-1,2017,2018,MIL,NBA,Thon Maker\makerth01,131,46,1800,213,497,154,319,59,178,97,142,115,224,339,69,48,79,61,246,582,0.429,0.483,0.331,0.488,0.683,0.52
1029,6-9,2000,2004,TOT,NBA,Karl Malone\malonka01,366,366,13191,2845,5909,2829,5856,16,53,2276,2900,599,2530,3129,1548,510,243,1051,994,7982,0.481,0.483,0.302,0.483,0.785,0.555
1030,6-3,2000,2003,TOT,NBA,Matt Maloney\malonma01,120,39,2681,268,691,150,360,118,331,66,84,25,163,188,309,92,8,138,145,720,0.388,0.417,0.356,0.473,0.786,0.495
1031,6-10,2000,2003,TOT,NBA,Danny Manning\mannida01,208,10,3163,480,1020,468,973,12,47,163,231,148,400,548,202,139,82,183,493,1135,0.471,0.481,0.255,0.476,0.706,0.506
1032,6-6,2015,2016,ORL,NBA,Devyn Marble\marblde01,44,7,457,35,115,23,61,12,54,15,40,11,58,69,29,22,3,16,39,97,0.304,0.377,0.222,0.357,0.375,0.366
1033,6-2,2000,2009,TOT,NBA,Stephon Marbury\marbust01,648,622,24560,4523,10333,3795,8074,728,2259,2972,3739,430,1530,1960,4808,792,87,1917,1508,12746,0.438,0.47,0.322,0.473,0.795,0.532
