Rk,Ht,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1494,6-7,2001,2003,TOT,NBA,Reggie Slater\slatere01,89,16,874,124,240,124,240,0,0,108,165,101,125,226,31,25,11,53,160,356,0.517,0.517,,0.517,0.655,0.569
1495,6-8,2003,2005,TOT,NBA,Tamar Slay\slayta01,66,0,517,73,202,60,153,13,49,14,26,24,46,70,31,26,4,39,71,173,0.361,0.392,0.265,0.394,0.538,0.405
1496,6-3,2012,2016,TOT,NBA,Donald Sloan\sloando01,218,66,3749,449,1098,351,782,98,316,193,256,54,401,455,651,83,8,230,193,1189,0.409,0.449,0.31,0.454,0.754,0.491
1497,6-10,2007,2007,TOR,NBA,Uros Slokar\slokaur01,20,0,72,14,26,13,24,1,2,9,13,7,7,14,1,1,2,9,11,38,0.538,0.542,0.5,0.558,0.692,0.599
1498,6-4,2015,2018,BOS,NBA,Marcus Smart\smartma01,261,83,7488,817,2270,496,1176,321,1094,511,676,258,713,971,1016,386,93,458,684,2466,0.36,0.422,0.293,0.431,0.756,0.48
1499,6-4,2002,2006,TOT,NBA,Charles Smith\smithch04,85,26,1364,213,504,163,334,50,170,50,77,37,112,149,90,58,50,64,145,526,0.423,0.488,0.294,0.472,0.649,0.489
1500,6-2,2014,2014,NYK,NBA,Chris Smith\smithch05,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1501,6-7,2007,2012,TOT,NBA,Craig Smith\smithcr01,403,49,6826,1221,2207,1220,2180,1,27,637,963,543,1024,1567,322,183,91,413,957,3080,0.553,0.56,0.037,0.553,0.661,0.585
1502,6-3,2018,2018,DAL,NBA,Dennis Smith\smithde03,69,69,2049,404,1023,298,684,106,339,134,193,50,210,260,358,71,18,195,152,1048,0.395,0.436,0.313,0.447,0.694,0.473
1503,6-7,2005,2006,ATL,NBA,Donta Smith\smithdo04,61,0,560,59,140,51,114,8,26,39,60,22,44,66,48,31,5,29,70,165,0.421,0.447,0.308,0.45,0.65,0.496
1504,6-10,2012,2016,TOT,NBA,Greg Smith\smithgr02,149,12,1834,243,394,243,393,0,1,110,191,165,324,489,41,32,59,65,290,596,0.617,0.618,0,0.617,0.576,0.623
1505,6-0,2011,2018,TOT,NBA,Ish Smith\smithis01,486,142,9267,1507,3520,1355,3015,152,505,353,528,163,973,1136,1846,352,109,622,594,3519,0.428,0.449,0.301,0.45,0.669,0.469
1506,6-6,2005,2018,TOT,NBA,J.R. Smith\smithjr01,960,391,25974,4346,10364,2429,5236,1917,5128,1448,1978,494,2556,3050,2053,962,201,1300,2167,12057,0.419,0.464,0.374,0.512,0.732,0.537
1507,6-11,2001,2005,TOT,NBA,Jabari Smith\smithja01,108,2,1063,125,303,124,295,1,8,78,113,49,129,178,66,37,26,54,166,329,0.413,0.42,0.125,0.414,0.69,0.466
1508,7-0,2008,2018,TOT,NBA,Jason Smith\smithja02,596,103,9839,1551,3301,1476,3075,75,226,535,685,640,1383,2023,439,205,401,494,1307,3712,0.47,0.48,0.332,0.481,0.781,0.515
1509,6-2,2012,2012,NJN,NBA,Jerry Smith\smithje01,5,0,46,3,14,2,8,1,6,0,0,2,5,7,4,5,0,0,5,7,0.214,0.25,0.167,0.25,,0.25
1510,6-10,2000,2011,TOT,NBA,Joe Smith\smithjo02,746,360,17353,2582,5603,2574,5562,8,41,1549,1950,1542,2812,4354,644,353,531,736,2096,6721,0.461,0.463,0.195,0.462,0.794,0.52
1511,6-9,2005,2018,TOT,NBA,Josh Smith\smithjo03,894,772,29000,5089,11247,4639,9669,450,1578,2368,3748,1717,4936,6653,2789,1083,1713,2197,2461,12996,0.452,0.48,0.285,0.472,0.632,0.504
1512,6-10,2002,2004,TOT,NBA,Leon Smith\smithle01,15,0,104,11,28,11,28,0,0,11,17,11,22,33,3,5,1,3,13,33,0.393,0.393,,0.393,0.647,0.465
1513,6-8,2000,2001,WAS,NBA,Michael Smith\smithmi02,125,75,2755,214,410,214,408,0,2,162,255,293,600,893,157,84,60,107,283,590,0.522,0.525,0,0.522,0.635,0.565
1514,6-8,2001,2001,WAS,NBA,Mike Smith\smithmi03,17,0,180,19,59,16,41,3,18,10,16,10,12,22,10,5,3,7,8,51,0.322,0.39,0.167,0.347,0.625,0.386
