"","Player","Year","RPM1","RPM2","RPM3","Pos","Age","Ht","G","MP","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OBPM","DBPM","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","PF","PTS","ORtg","DRtg"
"315","Allen Iverson",2004,4.3,3.5,0.8,"SG",28,NA,65.3333333333333,2812.66666666667,0.490833333333333,0.162,0.369166666666667,2.05,9.33333333333333,5.68333333333333,27.9,3.4,0.333333333333333,11.5,35.75,3.4,-0.1,12.8166666666667,31.95,0.4015,1.48333333333333,5.16666666666667,0.287096774193548,11.3333333333333,26.8166666666667,0.422622747047856,9.28333333333333,11.7333333333333,0.791193181818182,2.16666666666667,36.4,100.833333333333,101
"145","Alonzo Gee",2013,-4.63,-3.68,-2.13,"SF",25,"78",62.6666666666667,1591.5,0.528166666666667,0.2285,0.348333333333333,5.68333333333333,13.0666666666667,9.2,7.6,2.06666666666667,0.983333333333333,14.9333333333333,16.3,-1.5,-0.0333333333333333,6,13.9333333333333,0.434666666666667,1.06666666666667,3.25,0.328205128205128,4.96666666666667,10.65,0.466353677621283,3.8,4.83333333333333,0.786206896551724,4.26666666666667,16.8833333333333,102,110.333333333333
"146","Alonzo Gee",2012,-1.5,-4.63,-3.68,"SG",24,"78",58.3333333333333,1354.33333333333,0.534666666666667,0.211666666666667,0.360333333333333,6.16666666666667,13.2333333333333,9.53333333333333,7.13333333333333,2,1.03333333333333,15.2,15.9,-1.63333333333333,-0.0333333333333333,5.9,13.4333333333333,0.442666666666667,0.966666666666667,2.9,0.333333333333333,4.96666666666667,10.5,0.473015873015873,3.8,4.83333333333333,0.786206896551724,4.3,16.5666666666667,102.666666666667,110.666666666667
"316","Alonzo Gee",2014,-3.68,-2.13,-1.68,"SF",26,"78",69.6666666666667,1930.5,0.508166666666667,0.2635,0.3275,4.78333333333333,13.1833333333333,8.8,9.18333333333333,2.26666666666667,0.85,14.45,17.2166666666667,-1.26666666666667,0.133333333333333,6.15,15,0.411833333333333,1.28333333333333,3.93333333333333,0.326271186440678,4.91666666666667,11.0166666666667,0.446293494704993,3.86666666666667,4.96666666666667,0.778523489932886,4.33333333333333,17.45,100.166666666667,108.5
"147","Alonzo Gee",2011,-0.5,-1.5,-4.63,"SG",23,"78",56,1118,0.544,0.193,0.348,6.2,12.7,9.3,5.4,1.8,1.2,15.3,14.5,-2.2,-0.1,5.6,12.2,0.458,0.8,2.4,0.333333333333333,4.8,9.8,0.489795918367347,3.3,4.2,0.785714285714286,4.3,15.3,103,112
"148","Alonzo Mourning",2005,0.7,-2,-2.5,"C-PF",34,NA,37,702,0.515,0,0.665,9,24.5,16.8,4.6,0.6,8.3,17.2,22.1,-5.9,2.5,7.6,16.2,0.472,0,0,NA,7.6,16.2,0.469135802469136,6.3,10.7,0.588785046728972,6.3,21.5,95,98
"149","Alvin Williams",2000,0.6,0.2,0.1,"PG",25,"77",55,779,0.463,0.192,0.226,3.8,8.6,6.1,26.6,2.3,1,13,20.6,-0.8,-1.7,7.6,19.1,0.397,1.1,3.7,0.297297297297297,6.5,15.5,0.419354838709677,3.2,4.3,0.744186046511628,5.2,19.5,100,106
"227","Alvin Williams",2001,0.2,0.1,-2.4,"SG",26,"77",64,1317.33333333333,0.469666666666667,0.175,0.213666666666667,3.3,8.33333333333333,5.73333333333333,26.8,2.43333333333333,0.933333333333333,12.3333333333333,19.5333333333333,-0.233333333333333,-1.23333333333333,7.5,18.3666666666667,0.408,0.966666666666667,3.26666666666667,0.295918367346939,6.5,15.1666666666667,0.428571428571429,2.93333333333333,3.93333333333333,0.745762711864407,4.73333333333333,18.9,102.333333333333,105.333333333333
"150","Amar'e Stoudemire",2012,-1.4,-5.41,-1.17,"PF",29,"82",74.8333333333333,2632.83333333333,0.586,0.0131666666666667,0.446333333333333,8.76666666666667,18.6166666666667,13.7666666666667,7.85,1.06666666666667,2.7,12.35,28.1833333333333,0.816666666666667,-0.666666666666667,12.35,23.4666666666667,0.526333333333333,0.1,0.3,0.333333333333333,12.25,23.1666666666667,0.528776978417266,8.1,10.4166666666667,0.7776,4.86666666666667,32.8833333333333,112.166666666667,107.333333333333
"151","Amar'e Stoudemire",2011,-1.4,-1.4,-5.41,"C",28,"82",66.8333333333333,2398.33333333333,0.607666666666667,0.00883333333333333,0.492333333333333,8.13333333333333,18.2833333333333,13.4,7.95,1.15,2.38333333333333,13.1166666666667,26.35,1.31666666666667,-0.6,11.5333333333333,21.3833333333333,0.538833333333333,0.0833333333333333,0.2,0.416666666666667,11.45,21.2333333333333,0.539246467817896,8.4,10.4166666666667,0.8064,4.56666666666667,31.5,115.666666666667,109.833333333333
"152","Amar'e Stoudemire",2007,3.9,1,0.3,"C",24,"82",107.333333333333,3785.33333333333,0.829333333333333,0.013,0.78,11.8666666666667,25.1666666666667,18.8666666666667,9.36666666666667,1.8,3.96666666666667,15.1,36.9,3.7,0.233333333333333,16.6666666666667,29.6666666666667,0.750666666666667,0.1,0.333333333333333,0.3,16.6666666666667,29.4333333333333,0.566251415628539,12.9333333333333,17.4333333333333,0.741873804971319,6.63333333333333,46.4,159.666666666667,139.333333333333
"228","Amar'e Stoudemire",2009,0.3,0.7,-1.4,"PF",26,"82",76.1666666666667,2561.5,0.64,0.0116666666666667,0.554,8.98333333333333,21.7,15.7166666666667,6.38333333333333,1.36666666666667,3.13333333333333,13.2666666666667,26.3333333333333,1.83333333333333,0.433333333333333,11.7833333333333,20.55,0.574,0.05,0.283333333333333,0.176470588235294,11.7666666666667,20.2833333333333,0.580115036976171,9.06666666666667,11.3666666666667,0.797653958944281,5.28333333333333,32.75,118.833333333333,104.666666666667
"229","Amar'e Stoudemire",2010,0.7,-1.4,-1.4,"PF",27,"82",70.8333333333333,2460.83333333333,0.636166666666667,0.0168333333333333,0.541166666666667,8.11666666666667,19.7333333333333,14.3166666666667,7.31666666666667,1.18333333333333,3.05,11.8333333333333,26.7166666666667,2.45,-0.116666666666667,12.15,21.3833333333333,0.5675,0.0833333333333333,0.383333333333333,0.217391304347826,12.1166666666667,21.0333333333333,0.576069730586371,9.35,11.5666666666667,0.80835734870317,4.98333333333333,33.75,120.5,107.166666666667
"230","Amar'e Stoudemire",2008,1,0.3,0.7,"C",25,"82",81,2685,0.643333333333333,0.0106666666666667,0.560333333333333,9.46666666666667,22.5666666666667,16.4,5.83333333333333,1.4,3.26666666666667,13.4333333333333,26.6,1.76666666666667,0.6,11.9333333333333,20.6333333333333,0.58,0.0333333333333333,0.266666666666667,0.125,11.9333333333333,20.3666666666667,0.585924713584288,9.1,11.5333333333333,0.789017341040462,5.5,33.1,118.666666666667,103.333333333333
"317","Amar'e Stoudemire",2013,-5.41,-1.17,0.18,"PF",30,"82",59.5,2063,0.569,0.0186666666666667,0.406666666666667,8.2,17.9166666666667,12.9833333333333,9.3,1.16666666666667,3.11666666666667,12.75,28.2,5.55111512312578e-17,-0.35,12.05,23.7,0.508166666666667,0.166666666666667,0.433333333333333,0.384615384615385,11.8833333333333,23.2666666666667,0.510744985673352,7.58333333333333,9.6,0.789930555555555,5.1,31.8166666666667,108.833333333333,105.666666666667
"153","Amir Johnson",2013,4.61,1.83,2.95,"PF",25,"81",70.8333333333333,1831.66666666667,0.6025,0.0095,0.295333333333333,11.6,18.7,15.0833333333333,7.75,1.43333333333333,3.63333333333333,14.5333333333333,15.1,0.716666666666667,1.91666666666667,7.45,13.1333333333333,0.568333333333333,0.05,0.116666666666667,0.428571428571429,7.4,13.0166666666667,0.568501920614597,2.93333333333333,3.93333333333333,0.745762711864407,7.2,17.9333333333333,117.666666666667,106.333333333333
"154","Amir Johnson",2010,2.7,2.2,3.6,"PF",22,"81",65.3333333333333,927.833333333333,0.601166666666667,0.002,0.3125,13.2666666666667,20.5166666666667,16.9166666666667,4.91666666666667,1.51666666666667,6.53333333333333,16.0166666666667,13.1666666666667,-0.9,3.81666666666667,6.5,11.2333333333333,0.581166666666667,0,0.0166666666666667,0,6.5,11.2,0.580357142857143,2.38333333333333,3.58333333333333,0.665116279069767,10.0333333333333,15.3666666666667,118.166666666667,100.833333333333
"231","Amir Johnson",2012,3.6,4.61,1.83,"PF",24,"81",75.6666666666667,1603,0.622166666666667,0.00916666666666667,0.371833333333333,12.2833333333333,18.7166666666667,15.5166666666667,6.21666666666667,1.48333333333333,3.55,13.7666666666667,14.7333333333333,1.11666666666667,1.21666666666667,7.43333333333333,12.5166666666667,0.596833333333333,0.0166666666666667,0.0833333333333333,0.2,7.41666666666667,12.3833333333333,0.598923283983849,3.2,4.63333333333333,0.690647482014389,8.18333333333333,18.0666666666667,121.5,108.666666666667
"155","Amir Johnson",2008,1.1,2.1,2.7,"PF",20,"81",62,764,0.584,0,0.333,13.5,23.2,18.4,5.9,1.7,8.5,17.1,14.1,-1.4,5.7,6.6,11.9,0.558,0,0,NA,6.6,11.9,0.554621848739496,2.7,4,0.675,10.1,15.9,115,95
"232","Amir Johnson",2015,2.95,3.8,1.78,"PF",27,"81",78.6666666666667,2230.33333333333,0.593333333333333,0.0613333333333333,0.274,10.25,18.75,14.45,8.81666666666667,1.56666666666667,3.36666666666667,15.05,16.1333333333333,0.6,2.36666666666667,7.85,13.9666666666667,0.56,0.3,0.883333333333333,0.339622641509434,7.55,13.1166666666667,0.575603557814485,2.6,3.85,0.675324675324675,6.56666666666667,18.6166666666667,114.5,104.5
"318","Amir Johnson",2014,1.83,2.95,3.8,"PF",26,"81",71.8333333333333,1920.5,0.595666666666667,0.0325,0.2655,11,19.3,15.1166666666667,8.7,1.4,3.6,17.4,15.25,0.05,2.68333333333333,7.31666666666667,12.9,0.566333333333333,0.166666666666667,0.466666666666667,0.357142857142857,7.15,12.45,0.57429718875502,2.38333333333333,3.45,0.690821256038648,6.96666666666667,17.2,111.833333333333,103
"233","Amir Johnson",2011,2.2,3.6,4.61,"PF",23,"81",70.3333333333333,1248.66666666667,0.618333333333333,0.00433333333333333,0.31,12.8166666666667,17.9333333333333,15.3666666666667,4.5,1.38333333333333,4.31666666666667,14.15,12.9333333333333,0.0666666666666666,1.7,6.71666666666667,11.2166666666667,0.599833333333333,0,0.0333333333333333,0,6.71666666666667,11.15,0.602391629297459,2.41666666666667,3.56666666666667,0.677570093457944,9.45,15.8333333333333,122,107.5
"234","Amir Johnson",2009,2.1,2.7,2.2,"PF",21,"81",62,813,0.592,0,0.293666666666667,13.3666666666667,21.2,17.3,5.06666666666667,1.53333333333333,7.36666666666667,16.6,13.1,-1.36666666666667,4.63333333333333,6.36666666666667,11.2333333333333,0.570333333333333,0,0,NA,6.36666666666667,11.2333333333333,0.566765578635015,2.26666666666667,3.36666666666667,0.673267326732673,10.2,15,116.666666666667,98.3333333333333
"156","Anderson Varejao",2009,3,0.8,2.1,"PF",26,"82",70,1790.33333333333,0.519333333333333,0.014,0.509333333333333,10.8166666666667,22.2,16.4333333333333,6,1.85,1.96666666666667,12.65,13.6833333333333,-1.91666666666667,2.5,5.48333333333333,11.4333333333333,0.481,0,0.133333333333333,0,5.48333333333333,11.25,0.487407407407408,3.51666666666667,5.73333333333333,0.613372093023256,6.43333333333333,14.5166666666667,110.166666666667,100.333333333333
"235","Anderson Varejao",2010,0.8,2.1,4.6,"PF",27,"82",63.6666666666667,1789.66666666667,0.5305,0.00666666666666667,0.366833333333333,10.3833333333333,22.0666666666667,16.25,5.96666666666667,1.63333333333333,1.96666666666667,13.2166666666667,13.6166666666667,-1.93333333333333,2.16666666666667,5.93333333333333,11.7666666666667,0.5045,0,0.0666666666666667,0,5.93333333333333,11.7,0.507122507122507,2.66666666666667,4.31666666666667,0.617760617760618,5.46666666666667,14.5166666666667,110.666666666667,102.333333333333
"236","Anderson Varejao",2012,4.6,4.06,-2.8,"C",29,"82",52.5,1545.16666666667,0.576,0.0115,0.3605,11.65,22.7,17.2166666666667,7.13333333333333,1.7,2.43333333333333,12.6,13.8,-0.133333333333333,2.28333333333333,6.48333333333333,11.8666666666667,0.547666666666667,0,0.133333333333333,0,6.48333333333333,11.7333333333333,0.552556818181818,2.81666666666667,4.21666666666667,0.66798418972332,4.9,15.7833333333333,117.833333333333,104.166666666667
